"row","column","cor","p"
"louvain_comm","fstgrdy_comm",0.578596210612324,0
"deg_cent_total","page_rank",0.422319860528314,1.39310785129965e-12
"deg_cent_out","page_rank",0.0319509834040778,0.609458053250524
"deg_cent_in","page_rank",0.459169645065532,7.32747196252603e-15
"wtd_deg_cent_total","page_rank",0.956139638969,0
"wtd_deg_cent_out","page_rank",0.189150216092918,0.00228051218358205
"wtd_deg_cent_in","page_rank",0.966722006219408,0
"btw_cent","page_rank",0.338538662901418,2.4488400640621e-08
"close_cent_total","page_rank",0.487014467638692,0
"close_cent_out","page_rank",0.0274495708093412,0.660772290071563
"close_cent_in","page_rank",0.52221053617766,0
"eigen_cent","page_rank",0.985461149491562,0
"component","page_rank",NA,NA
"louvain_comm","page_rank",-0.0949140886943561,0.128365801996494
"fstgrdy_comm","page_rank",-0.0818944444598372,0.189778148280778
"deg_cent_total","alpha_cent",-0.113968867366614,0.0675973713128317
"deg_cent_out","alpha_cent",-0.0412795265956725,0.509183763269068
"deg_cent_in","alpha_cent",-0.114112432623047,0.0672500996053582
"wtd_deg_cent_total","alpha_cent",0.00454279857061838,0.94211312221774
"wtd_deg_cent_out","alpha_cent",-0.0309238170798743,0.621012135733524
"wtd_deg_cent_in","alpha_cent",0.00994923557126198,0.873640254299195
"btw_cent","alpha_cent",-0.0973812358379554,0.118691476811433
"close_cent_total","alpha_cent",-0.0964370181664105,0.122324606604517
"close_cent_out","alpha_cent",-0.0402545348034164,0.519766833879233
"close_cent_in","alpha_cent",-0.0953597409577365,0.126574589923623
"eigen_cent","alpha_cent",0.00477844039073849,0.939116099877621
"component","alpha_cent",NA,NA
"louvain_comm","alpha_cent",0.0359811135961468,0.565073390872588
"fstgrdy_comm","alpha_cent",0.0383812773165727,0.539395598876725
"page_rank","alpha_cent",0.00672386671913363,0.914409719101046
"deg_cent_total","auth_score",0.442773331531935,8.21565038222616e-14
"deg_cent_out","auth_score",0.0615714825227908,0.324566538197519
"deg_cent_in","auth_score",0.472982670982844,8.88178419700125e-16
"wtd_deg_cent_total","auth_score",0.988829700139027,0
"wtd_deg_cent_out","auth_score",0.201820058932896,0.00111579331235934
"wtd_deg_cent_in","auth_score",0.998729848208747,0
"btw_cent","auth_score",0.357219618409362,3.50635831480872e-09
"close_cent_total","auth_score",0.50233650991746,0
"close_cent_out","auth_score",0.0574437932200734,0.358115110241321
"close_cent_in","auth_score",0.536371177244633,0
"eigen_cent","auth_score",0.932711198131823,0
"component","auth_score",NA,NA
"louvain_comm","auth_score",-0.0648643218170151,0.299312162088964
"fstgrdy_comm","auth_score",-0.0848553370216831,0.174206124881539
"page_rank","auth_score",0.971226793425377,0
"alpha_cent","auth_score",0.00974995520202938,0.876150690194209
"deg_cent_total","hub_score",0.433817222320695,2.90212298637016e-13
"deg_cent_out","hub_score",0.6625985130676,0
"deg_cent_in","hub_score",0.282665045850601,3.97590370271317e-06
"wtd_deg_cent_total","hub_score",0.380189629610908,2.6868129943125e-10
"wtd_deg_cent_out","hub_score",0.955917555753328,0
"wtd_deg_cent_in","hub_score",0.236162793742491,0.000128549394470046
"btw_cent","hub_score",0.453105984480618,1.82076576038526e-14
"close_cent_total","hub_score",0.404240709533016,1.45918832572534e-11
"close_cent_out","hub_score",0.663363092885536,0
"close_cent_in","hub_score",0.286836865901916,2.81741992469442e-06
"eigen_cent","hub_score",0.294003972014461,1.53893958820817e-06
"component","hub_score",NA,NA
"louvain_comm","hub_score",-0.140191805268867,0.0243214939830643
"fstgrdy_comm","hub_score",-0.36997833187082,8.63054738786673e-10
"page_rank","hub_score",0.259070617186731,2.51734505429813e-05
"alpha_cent","hub_score",-0.021169173216911,0.735051152705125
"auth_score","hub_score",0.25479098541818,3.45450963767924e-05
"deg_cent_total","local_trans",-0.929012214014274,0
"deg_cent_out","local_trans",-0.414885147710396,3.723021890778e-12
"deg_cent_in","local_trans",-0.906654463740512,0
"wtd_deg_cent_total","local_trans",-0.393879880218223,5.26818588753031e-11
"wtd_deg_cent_out","local_trans",-0.440342921576629,1.15907283770866e-13
"wtd_deg_cent_in","local_trans",-0.337238595851573,2.79039125139491e-08
"btw_cent","local_trans",-0.842947962964159,0
"close_cent_total","local_trans",-0.866893804250761,0
"close_cent_out","local_trans",-0.418346697259957,2.36277664100726e-12
"close_cent_in","local_trans",-0.838229794110468,0
"eigen_cent","local_trans",-0.295418961000224,1.36307546028114e-06
"component","local_trans",NA,NA
"louvain_comm","local_trans",0.0227295315948949,0.716332628455266
"fstgrdy_comm","local_trans",0.0583822359434241,0.350303410753075
"page_rank","local_trans",-0.315141165101313,2.34514501373795e-07
"alpha_cent","local_trans",0.132624345358873,0.0332267050147945
"auth_score","local_trans",-0.333793774820528,3.93239161233794e-08
"hub_score","local_trans",-0.367673057119781,1.11693498894283e-09
"deg_cent_total","in_ecc_cent",-0.341329644768443,1.84646691270274e-08
"deg_cent_out","in_ecc_cent",-0.109203792593873,0.0799812364492074
"deg_cent_in","in_ecc_cent",-0.346089003865206,1.1335447247518e-08
"wtd_deg_cent_total","in_ecc_cent",-0.167666342611404,0.00695112046527147
"wtd_deg_cent_out","in_ecc_cent",-0.226013071667538,0.00025206480093809
"wtd_deg_cent_in","in_ecc_cent",-0.13706376208213,0.0277162924368897
"btw_cent","in_ecc_cent",-0.2942690868534,1.50441885038433e-06
"close_cent_total","in_ecc_cent",-0.303236953090191,6.89002280562789e-07
"close_cent_out","in_ecc_cent",-0.113181814162793,0.0695273334901438
"close_cent_in","in_ecc_cent",-0.297904324174627,1.09968249661918e-06
"eigen_cent","in_ecc_cent",-0.152429197019552,0.0142529228822372
"component","in_ecc_cent",NA,NA
"louvain_comm","in_ecc_cent",0.00807641737330709,0.897279588769995
"fstgrdy_comm","in_ecc_cent",0.0781281791084272,0.211028117102872
"page_rank","in_ecc_cent",-0.136312604572643,0.0285895128291997
"alpha_cent","in_ecc_cent",0.0932390637830232,0.135273812954884
"auth_score","in_ecc_cent",-0.141849717572113,0.0226720800753433
"hub_score","in_ecc_cent",-0.212769591594243,0.000580707621248067
"local_trans","in_ecc_cent",0.46439655655279,3.33066907387547e-15
"deg_cent_total","out_ecc_cent",-0.178502881633718,0.00402245488179087
"deg_cent_out","out_ecc_cent",-0.48279570377583,2.22044604925031e-16
"deg_cent_in","out_ecc_cent",-0.0532374383606607,0.39445186909304
"wtd_deg_cent_total","out_ecc_cent",-0.0899305284512805,0.149753090603455
"wtd_deg_cent_out","out_ecc_cent",-0.331904714577509,4.73791621491415e-08
"wtd_deg_cent_in","out_ecc_cent",-0.0380562207572682,0.542838873565894
"btw_cent","out_ecc_cent",-0.173020706864533,0.00532515733970085
"close_cent_total","out_ecc_cent",-0.149967175036899,0.0159183654766188
"close_cent_out","out_ecc_cent",-0.467380658676763,2.22044604925031e-15
"close_cent_in","out_ecc_cent",-0.0480771889966881,0.441935484260696
"eigen_cent","out_ecc_cent",-0.0209507575303357,0.737684156551547
"component","out_ecc_cent",NA,NA
"louvain_comm","out_ecc_cent",-0.057910269636615,0.354218585488015
"fstgrdy_comm","out_ecc_cent",-0.0767485542988334,0.219225125845495
"page_rank","out_ecc_cent",-0.0239002459769433,0.702398118579943
"alpha_cent","out_ecc_cent",-0.106137354404036,0.0888774762558366
"auth_score","out_ecc_cent",-0.0370686361584177,0.55336652883754
"hub_score","out_ecc_cent",-0.30639020914201,5.20283956806367e-07
"local_trans","out_ecc_cent",0.157693722308333,0.0111958092903386
"in_ecc_cent","out_ecc_cent",0.0593873100694788,0.342057201079828
"deg_cent_total","load_cent",0.91734029441552,0
"deg_cent_out","load_cent",0.528882888775813,0
"deg_cent_in","load_cent",0.859486757162298,0
"wtd_deg_cent_total","load_cent",0.4285961664376,5.95967719618784e-13
"wtd_deg_cent_out","load_cent",0.529746065077317,0
"wtd_deg_cent_in","load_cent",0.358447303160944,3.07207859151504e-09
"btw_cent","load_cent",0.999999903830595,0
"close_cent_total","load_cent",0.882082576212292,0
"close_cent_out","load_cent",0.543533733897218,0
"close_cent_in","load_cent",0.847556212859915,0
"eigen_cent","load_cent",0.325937497373715,8.46578529500874e-08
"component","load_cent",NA,NA
"louvain_comm","load_cent",0.00536110740481782,0.931709188372913
"fstgrdy_comm","load_cent",-0.0270625736037279,0.665263396897711
"page_rank","load_cent",0.338585980778816,2.43720261750013e-08
"alpha_cent","load_cent",-0.0973534949609113,0.118797004458639
"auth_score","load_cent",0.357257002277318,3.49229822838026e-09
"hub_score","load_cent",0.45303163929918,1.84297022087776e-14
"local_trans","load_cent",-0.842971988064176,0
"in_ecc_cent","load_cent",-0.294249316945296,1.50696734824152e-06
"out_ecc_cent","load_cent",-0.172975237199875,0.00533738785890892
"deg_cent_total","stress_cent",0.96666470825003,0
"deg_cent_out","stress_cent",0.523890311997198,0
"deg_cent_in","stress_cent",0.915733276931629,0
"wtd_deg_cent_total","stress_cent",0.490257293496184,0
"wtd_deg_cent_out","stress_cent",0.541334728458382,0
"wtd_deg_cent_in","stress_cent",0.420893482623964,1.68531855138099e-12
"btw_cent","stress_cent",0.971456939783456,0
"close_cent_total","stress_cent",0.935501411959145,0
"close_cent_out","stress_cent",0.535926597071486,0
"close_cent_in","stress_cent",0.906297401995378,0
"eigen_cent","stress_cent",0.373837667561698,5.57910606602263e-10
"component","stress_cent",NA,NA
"louvain_comm","stress_cent",-0.0211814388458863,0.734903381818578
"fstgrdy_comm","stress_cent",-0.0471033939538209,0.451247463972756
"page_rank","stress_cent",0.392320489912938,6.36668495701542e-11
"alpha_cent","stress_cent",-0.113338639569262,0.0691392290556041
"auth_score","stress_cent",0.419103807299468,2.13762341161328e-12
"hub_score","stress_cent",0.46332031614088,3.99680288865056e-15
"local_trans","stress_cent",-0.887330704374828,0
"in_ecc_cent","stress_cent",-0.31316114428586,2.81482413821976e-07
"out_ecc_cent","stress_cent",-0.182167911814345,0.00331990890466849
"load_cent","stress_cent",0.971449807514388,0
"deg_cent_total","gilschmidt",0.482781051115862,2.22044604925031e-16
"deg_cent_out","gilschmidt",0.999980984129767,0
"deg_cent_in","gilschmidt",0.235759747169913,0.000132107936286818
"wtd_deg_cent_total","gilschmidt",0.181968577793582,0.00335505608933917
"wtd_deg_cent_out","gilschmidt",0.766953981926138,0
"wtd_deg_cent_in","gilschmidt",0.0609528382658412,0.329460790010949
"btw_cent","gilschmidt",0.528363146632076,0
"close_cent_total","gilschmidt",0.419437711364645,2.04503081135954e-12
"close_cent_out","gilschmidt",0.995755113899422,0
"close_cent_in","gilschmidt",0.212348255884627,0.000595851254926227
"eigen_cent","gilschmidt",0.0267529789537537,0.668864872489845
"component","gilschmidt",NA,NA
"louvain_comm","gilschmidt",0.191667817460972,0.00198536630594637
"fstgrdy_comm","gilschmidt",0.0949407856585138,0.128257950156792
"page_rank","gilschmidt",0.0320111607237513,0.608784103441317
"alpha_cent","gilschmidt",-0.0413713513985743,0.508241176272265
